GitHub Username,Computing ID,Alias,Repository Name,Branch Name,Lab Directory Name,Readme file name
tic,tpb5fe,,smart_and_healthy_buildings,master,lab_1,README.md
tballard34,,,smart_and_health_buildings,main,Lab_1,readme.md
Kalvinci,kkl2rw,Kalvinci,smart_and_healthy_buildings,master,lab_1,Readme.md
jackieannec,jac6bv,,smart_and_health_buildings,main,lab_1,readme.md
aparnakishore,ak8mj,aparnakishore,smart_and_health_buildings,main,lab_1,README.md
katiemartins,kem5en,,smart_and_health_buildings,main,-,README.md
sidman00,sg4ff,Bob the Builder,smart_and_health_buildings,main,-,README.md
vgcecchetti,vgc3rm,,smart_and_healthy_buildings,main,lab_1,README.md
Ryphilen,rpl8af,,smart_and_health_buildings,master,lab_1,readme.md
kothmann1,jek5bh,,smart_and_health_buildings,master,-,readme.md
asummerville,ads3pu,ads3pu,smart_and_healthy_buildings,main,lab_1,readme.md
Mikokokokoto,zx8yz,,smart_and_healthy_buildings,main,lab_1,readme.md
ShahiHub,dtf8qc,Shahi,SmartHealthyBuildings,main,lab1,README.md
elixir-1,rwa4se,,smart_and_healthy_buildings,main,lab_1,README.md
ShreyesBhat,spb5ht,Shreyes,smart_and_health_buildings,main,lab_1,README.md
mansouriahmad,sm2xv,,smart_and_healthy_buildings,master,Assignments/2_Lab_1,readme.md
